state,state_code,year,race,race_code,hispanic_origin,hispanic_origin_code,total_births,births_by_race,total_deaths,deaths_by_race,total_mmr,mmr_by_race,total_population,population_by_race
Louisiana,22,2018,Black or African American,2054-5,Not Hispanic or Latino,2186-2,59615,22455,22,15,36.90,66.80,2385219,805195
Louisiana,22,2019,Black or African American,2054-5,Not Hispanic or Latino,2186-2,58941,22425,26,15,44.11,66.89,2381744,805404
Maryland,24,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-2,75059,24986,18,10,23.98,40.02,2960001,0
Maryland,24,2010,Black or African American,2054-5,Not Hispanic or Latino,2186-2,73801,24432,26,16,35.23,65.49,2981790,0
Maryland,24,2011,White,2106-3,Not Hispanic or Latino,2186-2,73093,33265,24,11,32.83,33.07,3007715,0
Maryland,24,2012,Black or African American,2054-5,Not Hispanic or Latino,2186-2,72883,23870,20,14,27.44,58.65,3034160,0
Maryland,24,2014,Black or African American,2054-5,Not Hispanic or Latino,2186-2,73921,23968,22,16,29.76,66.76,3079989,0
Maryland,24,2017,Black or African American,2054-5,Not Hispanic or Latino,2186-2,71641,23079,25,14,34.90,60.66,3118023,988067
Maryland,24,2019,Black or African American,2054-5,Not Hispanic or Latino,2186-2,70178,22291,22,12,31.35,53.83,3116815,996064
Massachusetts,25,2016,White,2106-3,Not Hispanic or Latino,2186-2,71317,42871,18,12,25.24,27.99,3506128,2598971
Massachusetts,25,2017,White,2106-3,Not Hispanic or Latino,2186-2,70702,41554,14,11,19.80,26.47,3529454,2589523
Michigan,26,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-2,117294,22145,34,11,28.99,49.67,5044338,0
Michigan,26,2009,White,2106-3,Not Hispanic or Latino,2186-2,117294,82093,34,22,28.99,26.80,5044338,0
Michigan,26,2010,Black or African American,2054-5,Not Hispanic or Latino,2186-2,114531,22133,47,17,41.04,76.81,5035526,0
Michigan,26,2010,White,2106-3,Not Hispanic or Latino,2186-2,114531,79979,47,27,41.04,33.76,5035526,3891872
Michigan,26,2011,Black or African American,2054-5,Not Hispanic or Latino,2186-2,114008,21775,33,13,28.95,59.70,5030242,0
Michigan,26,2011,White,2106-3,Not Hispanic or Latino,2186-2,114008,79607,33,18,28.95,22.61,5030242,0
Michigan,26,2012,Black or African American,2054-5,Not Hispanic or Latino,2186-2,113091,21543,29,11,25.64,51.06,5032849,0
Michigan,26,2012,White,2106-3,Not Hispanic or Latino,2186-2,113091,79044,29,18,25.64,22.77,5032849,0
Michigan,26,2013,Black or African American,2054-5,Not Hispanic or Latino,2186-2,113489,22057,36,14,31.72,63.47,5036338,0
Michigan,26,2013,White,2106-3,Not Hispanic or Latino,2186-2,113489,79107,36,21,31.72,26.55,5036338,3862897
Michigan,26,2014,Black or African American,2054-5,Not Hispanic or Latino,2186-2,114375,21650,29,13,25.36,60.05,5041414,0
Michigan,26,2014,White,2106-3,Not Hispanic or Latino,2186-2,114375,80304,29,15,25.36,18.68,5041414,0
Michigan,26,2015,White,2106-3,Not Hispanic or Latino,2186-2,113312,78960,27,18,23.83,22.80,5044428,3845460
Michigan,26,2016,Black or African American,2054-5,Not Hispanic or Latino,2186-2,113315,21416,40,12,35.30,56.03,5043554,759300
Michigan,26,2016,White,2106-3,Not Hispanic or Latino,2186-2,113315,79070,40,25,35.30,31.62,5043554,3838575
Michigan,26,2017,White,2106-3,Not Hispanic or Latino,2186-2,111426,76788,24,14,21.54,18.23,5058559,3838383
Michigan,26,2018,Black or African American,2054-5,Not Hispanic or Latino,2186-2,110032,21490,32,10,29.08,46.53,5073772,762991
Michigan,26,2018,White,2106-3,Not Hispanic or Latino,2186-2,110032,75978,32,20,29.08,26.32,5073772,3837454
Michigan,26,2019,Black or African American,2054-5,Not Hispanic or Latino,2186-2,107886,21305,34,11,31.51,51.63,5068329,764067
Michigan,26,2019,White,2106-3,Not Hispanic or Latino,2186-2,107886,74128,34,20,31.51,26.98,5068329,3826315
Minnesota,27,2011,White,2106-3,Not Hispanic or Latino,2186-2,68409,50297,13,10,19.00,19.88,2689958,0
Minnesota,27,2016,White,2106-3,Not Hispanic or Latino,2186-2,69749,49338,14,10,20.07,20.27,2772322,2273781
Minnesota,27,2017,White,2106-3,Not Hispanic or Latino,2186-2,68595,47828,18,13,26.24,27.18,2799760,2277129
Mississippi,28,2011,Black or African American,2054-5,Not Hispanic or Latino,2186-2,39860,17304,18,12,45.16,69.35,1531968,0
Mississippi,28,2019,Black or African American,2054-5,Not Hispanic or Latino,2186-2,36636,15813,22,16,60.05,101.18,1533857,598833
Missouri,29,2011,White,2106-3,Not Hispanic or Latino,2186-2,76117,57815,17,14,22.33,24.22,3066254,0
Missouri,29,2012,Black or African American,2054-5,Not Hispanic or Latino,2186-2,75446,11319,34,12,45.07,106.02,3070952,0
Missouri,29,2012,White,2106-3,Not Hispanic or Latino,2186-2,75446,57350,34,21,45.07,36.62,3070952,0
Missouri,29,2013,White,2106-3,Not Hispanic or Latino,2186-2,75296,57361,30,22,39.84,38.35,3080214,0
Missouri,29,2014,Black or African American,2054-5,Not Hispanic or Latino,2186-2,75360,11453,34,10,45.12,87.31,3089367,0
Missouri,29,2014,White,2106-3,Not Hispanic or Latino,2186-2,75360,57150,34,22,45.12,38.50,3089367,2500910
Missouri,29,2015,Black or African American,2054-5,Not Hispanic or Latino,2186-2,75061,11304,33,13,43.96,115.00,3098627,389878
Missouri,29,2015,White,2106-3,Not Hispanic or Latino,2186-2,75061,57092,33,18,43.96,31.53,3098627,0
Missouri,29,2016,Black or African American,2054-5,Not Hispanic or Latino,2186-2,74705,11182,27,13,36.14,116.26,3100965,391685
Missouri,29,2016,White,2106-3,Not Hispanic or Latino,2186-2,74705,56547,27,13,36.14,22.99,3100965,2499876
Missouri,29,2017,White,2106-3,Not Hispanic or Latino,2186-2,73034,54835,28,18,38.34,32.83,3111296,2501554
Missouri,29,2018,White,2106-3,Not Hispanic or Latino,2186-2,73269,54802,24,17,32.76,31.02,3118889,2501974
New Jersey,34,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-2,110331,17135,37,12,33.54,70.03,4493506,0
New Jersey,34,2009,White,2106-3,Not Hispanic or Latino,2186-2,110331,52163,37,15,33.54,28.76,4493506,0
New Jersey,34,2010,Black or African American,2054-5,Not Hispanic or Latino,2186-2,106922,16332,30,14,28.06,85.72,4512294,0
New Jersey,34,2011,Black or African American,2054-5,Not Hispanic or Latino,2186-2,105883,16047,48,20,45.33,124.63,4520963,0
New Jersey,34,2011,White,2106-3,Not Hispanic or Latino,2186-2,105883,49661,48,17,45.33,34.23,4520963,2696212
New Jersey,34,2012,Black or African American,2054-5,Not Hispanic or Latino,2186-2,104230,16183,36,15,34.54,92.69,4540905,0
New Jersey,34,2012,White,2106-3,Not Hispanic or Latino,2186-2,104230,47944,36,15,34.54,31.29,4540905,0
New Jersey,34,2013,Black or African American,2054-5,Not Hispanic or Latino,2186-2,102575,15570,57,30,55.57,192.68,4555374,0
New Jersey,34,2013,White,2106-3,Not Hispanic or Latino,2186-2,102575,48018,57,16,55.57,33.32,4555374,2657962
New Jersey,34,2014,Black or African American,2054-5,Not Hispanic or Latino,2186-2,103305,15528,55,26,53.24,167.44,4576223,0
New Jersey,34,2014,White,2106-3,Not Hispanic or Latino,2186-2,103305,48196,55,18,53.24,37.35,4576223,2634637
New Jersey,34,2015,White,2106-3,Not Hispanic or Latino,2186-2,103127,47425,39,21,37.82,44.28,4585897,0
New Jersey,34,2016,Black or African American,2054-5,Not Hispanic or Latino,2186-2,102647,14274,43,20,41.89,140.11,4576725,633557
New Jersey,34,2016,White,2106-3,Hispanic or Latino,2135-2,102647,23617,43,11,41.89,46.58,4576725,753308
New Jersey,34,2016,White,2106-3,Not Hispanic or Latino,2186-2,102647,46545,43,11,41.89,23.63,4576725,2586923
New Jersey,34,2017,Black or African American,2054-5,Not Hispanic or Latino,2186-2,101250,14111,44,14,43.46,99.21,4609070,635622
New Jersey,34,2017,White,2106-3,Not Hispanic or Latino,2186-2,101250,46338,44,16,43.46,34.53,4609070,2573370
New Jersey,34,2018,Black or African American,2054-5,Not Hispanic or Latino,2186-2,101223,14320,35,16,34.58,111.73,4556326,629466
New Jersey,34,2018,White,2106-3,Not Hispanic or Latino,2186-2,101223,45966,35,11,34.58,23.93,4556326,2536967
New Jersey,34,2019,Black or African American,2054-5,Not Hispanic or Latino,2186-2,99585,13841,36,14,36.15,101.15,4541603,628787
New Jersey,34,2019,White,2106-3,Hispanic or Latino,2135-2,99585,23683,36,11,36.15,46.45,4541603,783764
New York,36,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-2,248110,40970,70,35,28.21,85.43,9966620,0
New York,36,2009,White,2106-3,Hispanic or Latino,2135-2,248110,52030,70,13,28.21,24.99,9966620,0
New York,36,2009,White,2106-3,Not Hispanic or Latino,2186-2,248110,119526,70,18,28.21,15.06,9966620,5900136
