year,state,id,state_code,latitude,longitude,deaths,births,maternal_mortality_ratio,population,employer,non_group,medicaid,medicare,military,uninsured,air_pollution_val,cancer_death_val,cardio_death_val,child_pov_val,choles_check_val,dent_vis_val,dentists_val,diabetes_val,drug_deaths_val,health_stat_fem_val,immun_child_val,income_ineq_val,infant_mort_val,infect_dis_val,obesity_val,phys_inac_val,prem_death_val,smoking_val,uninsured_val,all_determs_val,all_outcomes_val,chlamydia_val,prem_death_ri_val,teen_birth_val,primary_care_val
2011,Florida,US.FL,FL,27.664827,-81.515754,50.0,213414.0,23.43,9736166.0,51.3,7.6,10.2,2.1,1.9,26.9,7.8,183.1,222.9,22.3,81.9,66.4,49.9,10.4,16.2,53.3,94.65,4.57,7.0,8.8,27.2,24.0,7964.0,17.1,21.3,-0.012,-0.108,393.4,1.3,42.8,109.7
2012,Florida,US.FL,FL,27.664827,-81.515754,64.0,213148.0,30.03,9869741.0,50.5,7.8,11.5,2.1,1.9,26.2,7.6,184.0,230.4,22.1,79.0,66.4,50.4,10.4,16.5,48.8,91.25,4.69,6.7,9.1,26.6,26.9,7893.0,19.3,20.2,-0.146,-0.022,397.5,1.2,32.0,108.4
2013,Florida,US.FL,FL,27.664827,-81.515754,83.0,215407.0,38.53,9990213.0,49.8,7.9,11.7,2.1,2.1,26.4,7.6,182.6,223.8,21.5,79.0,59.8,50.2,11.4,16.3,48.8,68.6,4.7,6.5,0.196,25.2,23.2,7536.0,17.7,20.6,-0.126,-0.084,404.4,1.2,29.5,107.6
2014,Florida,US.FL,FL,27.664827,-81.515754,62.0,219991.0,28.18,10170011.0,49.9,11.5,12.6,2.1,2.1,21.8,7.4,182.7,223.0,19.3,79.5,59.8,50.5,11.2,15.2,48.8,70.0,4.65,6.2,0.37,26.4,27.7,7116.0,16.8,20.0,-0.098,-0.051,407.4,1.2,28.0,110.0
2015,Florida,US.FL,FL,27.664827,-81.515754,68.0,224269.0,30.32,10368733.0,50.8,14.4,13.2,2.1,2.2,17.4,7.2,182.0,221.0,24.2,79.5,61.9,50.7,11.2,13.9,48.1,72.7,4.68,6.1,0.423,26.2,23.7,7059.0,17.6,18.3,-0.163,-0.011,415.1,1.2,24.6,111.7
2016,Florida,US.FL,FL,27.664827,-81.515754,50.0,225022.0,22.22,10542288.0,50.9,14.5,13.6,2.4,2.0,16.6,6.8,182.1,224.8,24.4,79.7,61.9,52.0,11.3,13.2,50.1,66.6,4.65,6.1,0.363,26.8,26.2,7179.0,15.8,15.0,-0.227,-0.081,430.6,1.1,22.5,128.0
2017,Florida,US.FL,FL,27.664827,-81.515754,48.0,223630.0,21.46,10727581.0,52.0,13.9,12.8,2.2,2.1,17.1,6.8,182.1,229.0,18.7,79.7,63.0,52.3,11.8,14.1,49.1,67.1,4.61,6.2,0.277,27.4,29.8,7412.0,15.5,12.9,-0.155,0.001,454.8,1.1,20.8,131.6
2018,Florida,US.FL,FL,27.664827,-81.515754,54.0,221542.0,24.37,10887548.0,52.6,13.7,12.2,2.2,2.0,17.4,7.1,181.4,233.1,21.0,89.3,63.0,51.5,10.5,17.7,48.7,76.2,4.64,6.2,0.227,28.4,29.2,7790.0,16.1,12.7,-0.12,0.033,467.4,1.1,19.2,131.3
2019,Florida,US.FL,FL,27.664827,-81.515754,69.0,220002.0,31.36,10980681.0,52.9,13.8,11.8,2.3,1.9,17.3,7.4,181.1,236.7,19.7,89.3,65.7,51.2,12.6,21.4,48.3,76.2,4.68,6.1,0.253,30.7,26.8,7739.0,14.5,13.0,-0.173,-0.04,476.6,1.1,18.2,131.3
2009,Georgia,US.GA,GA,32.157435,-82.907123,36.0,141377.0,25.46,4917756.0,58.2,6.1,8.6,2.1,2.1,23.0,13.9,193.9,304.3,21.5,79.7,71.8,45.2,9.8,9.1,52.9,72.7,4.75,8.0,27.3,27.8,23.1,8421.0,19.5,17.7,-0.404,-0.062,449.6,1.3,54.2,101.2
